lemma,1830,1840,1850,sum
[ESTEEM],86.0,159.0,96.0,341.0
[STAMP],119.0,122.0,99.0,340.0
[DISCLOSE],130.0,102.0,107.0,339.0
[DELAY],132.0,101.0,106.0,339.0
[COPY],149.0,71.0,119.0,339.0
[MUTTER],90.0,152.0,96.0,338.0
[VALUE],122.0,112.0,103.0,337.0
[ELAPSE],119.0,111.0,105.0,335.0
[REPOSE],121.0,106.0,107.0,334.0
[BENEFIT],128.0,98.0,105.0,331.0
[PRESIDE],110.0,118.0,103.0,331.0
[PITY],104.0,107.0,120.0,331.0
[CURE],139.0,65.0,126.0,330.0
[LOCK],102.0,131.0,96.0,329.0
[RESCUE],101.0,104.0,124.0,329.0
[IDENTIFY],80.0,106.0,143.0,329.0
[BANISH],99.0,118.0,110.0,327.0
[FORESEE],126.0,92.0,108.0,326.0
[IMPAIR],124.0,108.0,94.0,326.0
[FACE],109.0,119.0,97.0,325.0
[GREET],112.0,73.0,140.0,325.0
[TESTIFY],126.0,102.0,97.0,325.0
[COLOR],75.0,130.0,120.0,325.0
[DISPENSE],108.0,100.0,116.0,324.0
[IMPORT],123.0,93.0,108.0,324.0
[CONCENTRATE],81.0,97.0,145.0,323.0
[SHEW],135.0,183.0,4.0,322.0
[FRIGHTEN],97.0,82.0,143.0,322.0
[INCORPORATE],137.0,102.0,82.0,321.0
[RETREAT],123.0,105.0,93.0,321.0
[ENRICH],91.0,125.0,105.0,321.0
